display  D   display_settings.c:202  debug_display_settings           [   0.44385] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44387] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44389] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44391] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44393] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44395] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44399] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44401] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44403] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44414] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44417] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44422] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44428] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44431] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44435] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44438] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44439] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44443] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44444] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44447] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44448] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44451] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44452] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44454] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44456] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44458] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44460] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44462] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44464] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44466] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44468] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44471] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44473] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44475] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44477] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44479] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44481] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44483] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44485] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44487] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44489] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
